name,company,year,Price,kms_driven,fuel_type,car_age,is_luxury,kms_per_year
Ford EcoSport,Ford,2017,13.102160670086809,10.571342565808699,Petrol,3,0,9750.0
Honda Brio,Honda,2012,12.323855681186558,10.308985993422082,Petrol,8,0,3333.3333333333335
Volkswagen Vento Highline,Volkswagen,2019,13.997832948091215,8.188966863648876,Diesel,1,0,1800.0
Hyundai i20 Magna,Hyundai,2009,12.180759965737863,10.373522431293592,Petrol,11,0,2666.6666666666665
Toyota Corolla Altis,Toyota,2010,12.768544351446794,10.545367754151743,Diesel,10,0,3454.5454545454545
Hyundai Verna Transform,Hyundai,2008,11.982935344196433,10.714439990727769,Petrol,12,0,3461.5384615384614
Toyota Corolla Altis,Toyota,2009,12.388398368982115,10.463131911491967,Petrol,11,0,2916.6666666666665
Honda City 1.5,Honda,2005,11.407576060361786,10.819798284210286,Petrol,15,0,3125.0
Skoda Fabia 1.2L,Skoda,2011,11.951186847493476,10.73343577458822,Diesel,9,0,4586.3
BMW 3 Series,Bmw,2011,13.304686600863562,11.010415172807951,Petrol,9,1,6050.0
Maruti Suzuki A,Maruti,2011,12.15214958053555,9.433563920090563,Petrol,9,0,1250.0
Toyota Etios GD,Toyota,2013,12.765691290604371,11.002116507732017,Diesel,7,0,7500.0
Ford Figo Diesel,Ford,2012,12.25486757159303,10.463131911491967,Diesel,8,0,3888.8888888888887
Maruti Suzuki Swift,Maruti,2014,12.873904582205107,10.463131911491967,Petrol,6,0,5000.0
Chevrolet Beat LT,Chevrolet,2012,11.813037464800539,10.714439990727769,Diesel,8,0,5000.0
BMW 7 Series,Bmw,2009,14.285514812209815,10.463131911491967,Petrol,11,1,2916.6666666666665
Mahindra XUV500 W8,Mahindra,2013,13.460264592549233,10.545367754151743,Diesel,7,0,4750.0
Hyundai i10 Magna,Hyundai,2014,12.487488878546145,9.798182590890704,Petrol,6,0,2571.4285714285716
Hyundai Verna Fluidic,Hyundai,2015,13.171155446333852,10.463131911491967,Diesel,5,0,5833.333333333333
Maruti Suzuki Swift,Maruti,2013,12.826651821423713,9.499271663828395,Petrol,7,0,1668.625
Maruti Suzuki Ertiga,Maruti,2016,13.361381852676738,10.275085591132715,Petrol,4,0,5800.0
Ford EcoSport Titanium,Ford,2014,13.217675375388819,10.691967639914864,Diesel,6,0,6285.714285714285
Maruti Suzuki Ertiga,Maruti,2016,13.26212705890841,10.275085591132715,Petrol,4,0,5800.0
Maruti Suzuki Ertiga,Maruti,2013,13.091906231773164,10.645448706505872,Diesel,7,0,5250.0
Maruti Suzuki Alto,Maruti,2012,11.951186847493476,9.546884034617925,Petrol,8,0,1555.5555555555557
Hyundai Grand i10,Hyundai,2014,12.75130259456002,10.799595985047786,Diesel,6,0,7000.0
Honda Amaze 1.2,Honda,2014,12.691583538230217,10.645448706505872,Petrol,6,0,6000.0
Hyundai i20 Asta,Hyundai,2012,12.70533466782146,10.49684202174171,Diesel,8,0,4022.222222222222
Ford Figo Diesel,Ford,2014,12.180759965737863,10.819798284210286,Diesel,6,0,7142.857142857143
Maruti Suzuki Eeco,Maruti,2015,12.433654333728994,10.915106645867503,Petrol,5,0,9166.666666666666
Maruti Suzuki Ertiga,Maruti,2014,13.253391639810733,10.714439990727769,Petrol,6,0,6428.571428571428
Maruti Suzuki Esteem,Maruti,2007,11.156250521031495,10.839600519357369,Petrol,13,0,3642.8571428571427
Maruti Suzuki Ritz,Maruti,2014,12.611537753638338,9.852246888342531,Petrol,6,0,2714.285714285714
Maruti Suzuki Dzire,Maruti,2009,12.301387370778713,10.736418414365376,Petrol,11,0,3833.3333333333335
Maruti Suzuki Ritz,Maruti,2013,12.89921982609012,10.404293143019792,Diesel,7,0,4125.0
Maruti Suzuki Dzire,Maruti,2015,13.017005083966255,11.552155793461898,Diesel,5,0,17333.333333333332
Toyota Etios Liva,Toyota,2014,12.506180941677357,10.915106645867503,Petrol,6,0,7857.142857142857
Hyundai i20 Sportz,Hyundai,2011,12.765691290604371,10.414333176102122,Diesel,9,0,3333.3
Chevrolet Spark,Chevrolet,2012,11.972885071473847,10.422311107413181,Petrol,8,0,3733.3333333333335
Maruti Suzuki Alto,Maruti,2017,12.765691290604371,8.630700432209832,Petrol,3,0,1400.0
Nissan Micra XV,Nissan,2011,12.095146671399466,10.62135173563291,Petrol,9,0,4100.0
Maruti Suzuki Swift,Maruti,2007,11.736077016252437,11.156264806643742,Petrol,13,0,5000.0
Maruti Suzuki Alto,Maruti,2018,12.206077645517674,8.922791623969637,Petrol,2,0,2500.0
Honda Amaze 1.5,Honda,2013,12.608202196848836,10.714439990727769,Diesel,7,0,5625.0
Maruti Suzuki Alto,Maruti,2015,12.301387370778713,10.545367754151743,Petrol,5,0,6333.333333333333
Chevrolet Beat,Chevrolet,2015,11.918397239722838,10.308985993422082,Petrol,5,0,5000.0
Toyota Corolla,Toyota,2009,12.524530013005734,10.165890277802454,Petrol,11,0,2166.6666666666665
Honda City 1.5,Honda,2010,12.560247968016562,10.463131911491967,Petrol,10,0,3181.818181818182
Ford EcoSport Trend,Ford,2016,13.629182184591333,10.09950653645368,Diesel,4,0,4866.0
Hyundai i20 Asta,Hyundai,2009,12.25486757159303,11.089515303207188,Petrol,11,0,5456.666666666667
Maruti Suzuki Swift,Maruti,2013,12.73670383776449,10.62135173563291,Petrol,7,0,5125.0
Tata Indica V2,Tata,2006,11.407576060361786,9.90353755128617,Petrol,14,0,1333.3333333333333
